n,p,k,ph,humidity,temperature,pump,total_nutrients,temp_ph_interaction,yield_ton_ha,irrigation_volume_l_m2,fertilizer_kg_ha,humidity_range,ph_range,temperature_range,source
1,0,1,6.17,76.9,27.5,0,2,169.84,3.566,0.27,39.48,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.16,50.1,22.6,1,2,116.59,0.689,1.457,55.75,baixa,acido,ideal,synthetic_agronomic_soy
0,1,0,6.51,83.7,14.3,0,1,92.74,0.192,0.0,62.57,excesso,ideal,baixa,synthetic_agronomic_soy
1,1,1,5.27,70.8,41.7,1,3,219.88,0.0,2.026,28.41,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,4.98,22.5,17.2,1,2,85.92,0.592,3.991,65.92,critica,acido,baixa,synthetic_agronomic_soy
0,1,1,6.3,93.0,19.7,0,2,123.77,0.867,0.489,29.75,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,6.77,75.9,19.1,0,2,129.08,2.289,0.0,30.11,excesso,ideal,ideal,synthetic_agronomic_soy
1,0,0,7.36,77.9,39.2,0,1,288.89,0.519,1.928,88.19,excesso,alcalino,estresse,synthetic_agronomic_soy
1,1,1,7.15,25.2,34.9,1,3,249.56,0.208,7.263,8.49,critica,alcalino,estresse,synthetic_agronomic_soy
1,0,0,7.37,51.0,25.7,0,1,189.6,1.079,2.092,85.99,baixa,alcalino,ideal,synthetic_agronomic_soy
0,0,0,7.08,44.7,40.7,0,0,287.9,0.304,7.475,107.39,baixa,alcalino,estresse,synthetic_agronomic_soy
0,1,1,6.91,89.1,13.6,0,2,93.86,0.006,0.28,45.09,excesso,alcalino,baixa,synthetic_agronomic_soy
1,0,0,4.83,66.5,38.8,0,1,187.47,0.283,2.856,98.61,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,6.68,80.8,13.8,0,3,92.25,0.37,0.0,1.4,excesso,ideal,baixa,synthetic_agronomic_soy
1,0,0,5.16,50.5,23.7,1,1,122.5,0.627,1.774,95.83,baixa,acido,ideal,synthetic_agronomic_soy
1,0,0,4.98,33.2,13.6,1,1,67.77,0.0,3.199,97.87,critica,acido,baixa,synthetic_agronomic_soy
0,0,1,5.27,59.4,42.0,1,1,221.14,0.5,3.753,79.84,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,7.27,20.1,39.4,1,3,286.66,0.0,8.202,19.11,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,1,7.03,81.2,29.5,0,2,207.74,2.968,0.749,53.46,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,1,7.65,65.5,18.5,0,3,141.73,0.628,1.181,30.16,adequada,alcalino,ideal,synthetic_agronomic_soy
